file_name_1,file_name_2,rmsd
alphafold2_P9WFW7_model_0.pdb,alphafold2_P9WFW1_model_0.pdb,16.16
alphafold2_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_0.pdb,18.4
alphafold2_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_1.pdb,15.95
alphafold2_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_2.pdb,17.65
alphafold2_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_3.pdb,20.61
alphafold2_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_4.pdb,15.93
alphafold2_P9WFW7_model_0.pdb,chai1_P9WFW1_model_0.pdb,18.79
alphafold2_P9WFW7_model_0.pdb,chai1_P9WFW1_model_1.pdb,18.57
alphafold2_P9WFW7_model_0.pdb,chai1_P9WFW1_model_2.pdb,15.4
alphafold2_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_0.pdb,20.59
alphafold2_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_1.pdb,16.24
alphafold2_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_2.pdb,17.08
alphafold3_P9WFW7_model_0.pdb,alphafold2_P9WFW1_model_0.pdb,14.87
alphafold3_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_0.pdb,19.27
alphafold3_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_1.pdb,13.72
alphafold3_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_2.pdb,17.47
alphafold3_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_3.pdb,20.31
alphafold3_P9WFW7_model_0.pdb,alphafold3_P9WFW1_model_4.pdb,19.26
alphafold3_P9WFW7_model_0.pdb,chai1_P9WFW1_model_0.pdb,13.35
alphafold3_P9WFW7_model_0.pdb,chai1_P9WFW1_model_1.pdb,18.44
alphafold3_P9WFW7_model_0.pdb,chai1_P9WFW1_model_2.pdb,16.87
alphafold3_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_0.pdb,19.49
alphafold3_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_1.pdb,19.04
alphafold3_P9WFW7_model_0.pdb,swissmodel_P9WFW1_model_2.pdb,16.86
alphafold3_P9WFW7_model_1.pdb,alphafold2_P9WFW1_model_0.pdb,19.1
alphafold3_P9WFW7_model_1.pdb,alphafold3_P9WFW1_model_0.pdb,18.21
alphafold3_P9WFW7_model_1.pdb,alphafold3_P9WFW1_model_1.pdb,19.58
alphafold3_P9WFW7_model_1.pdb,alphafold3_P9WFW1_model_2.pdb,19.4
alphafold3_P9WFW7_model_1.pdb,alphafold3_P9WFW1_model_3.pdb,19.98
alphafold3_P9WFW7_model_1.pdb,alphafold3_P9WFW1_model_4.pdb,19.44
alphafold3_P9WFW7_model_1.pdb,chai1_P9WFW1_model_0.pdb,14.69
alphafold3_P9WFW7_model_1.pdb,chai1_P9WFW1_model_1.pdb,16.64
alphafold3_P9WFW7_model_1.pdb,chai1_P9WFW1_model_2.pdb,16.93
alphafold3_P9WFW7_model_1.pdb,swissmodel_P9WFW1_model_0.pdb,19.69
alphafold3_P9WFW7_model_1.pdb,swissmodel_P9WFW1_model_1.pdb,15.51
alphafold3_P9WFW7_model_1.pdb,swissmodel_P9WFW1_model_2.pdb,17.67
alphafold3_P9WFW7_model_2.pdb,alphafold2_P9WFW1_model_0.pdb,18.87
alphafold3_P9WFW7_model_2.pdb,alphafold3_P9WFW1_model_0.pdb,19.11
alphafold3_P9WFW7_model_2.pdb,alphafold3_P9WFW1_model_1.pdb,18.99
alphafold3_P9WFW7_model_2.pdb,alphafold3_P9WFW1_model_2.pdb,17.44
alphafold3_P9WFW7_model_2.pdb,alphafold3_P9WFW1_model_3.pdb,20.02
alphafold3_P9WFW7_model_2.pdb,alphafold3_P9WFW1_model_4.pdb,18.67
alphafold3_P9WFW7_model_2.pdb,chai1_P9WFW1_model_0.pdb,18.13
alphafold3_P9WFW7_model_2.pdb,chai1_P9WFW1_model_1.pdb,18.68
alphafold3_P9WFW7_model_2.pdb,chai1_P9WFW1_model_2.pdb,12.12
alphafold3_P9WFW7_model_2.pdb,swissmodel_P9WFW1_model_0.pdb,19.45
alphafold3_P9WFW7_model_2.pdb,swissmodel_P9WFW1_model_1.pdb,14.53
alphafold3_P9WFW7_model_2.pdb,swissmodel_P9WFW1_model_2.pdb,16.6
alphafold3_P9WFW7_model_3.pdb,alphafold2_P9WFW1_model_0.pdb,15.67
alphafold3_P9WFW7_model_3.pdb,alphafold3_P9WFW1_model_0.pdb,20.54
alphafold3_P9WFW7_model_3.pdb,alphafold3_P9WFW1_model_1.pdb,19.15
alphafold3_P9WFW7_model_3.pdb,alphafold3_P9WFW1_model_2.pdb,19.01
alphafold3_P9WFW7_model_3.pdb,alphafold3_P9WFW1_model_3.pdb,20.04
alphafold3_P9WFW7_model_3.pdb,alphafold3_P9WFW1_model_4.pdb,19.6
alphafold3_P9WFW7_model_3.pdb,chai1_P9WFW1_model_0.pdb,13.43
alphafold3_P9WFW7_model_3.pdb,chai1_P9WFW1_model_1.pdb,18.47
alphafold3_P9WFW7_model_3.pdb,chai1_P9WFW1_model_2.pdb,11.53
alphafold3_P9WFW7_model_3.pdb,swissmodel_P9WFW1_model_0.pdb,20.6
alphafold3_P9WFW7_model_3.pdb,swissmodel_P9WFW1_model_1.pdb,17.88
alphafold3_P9WFW7_model_3.pdb,swissmodel_P9WFW1_model_2.pdb,17.2
alphafold3_P9WFW7_model_4.pdb,alphafold2_P9WFW1_model_0.pdb,15.38
alphafold3_P9WFW7_model_4.pdb,alphafold3_P9WFW1_model_0.pdb,18.52
alphafold3_P9WFW7_model_4.pdb,alphafold3_P9WFW1_model_1.pdb,16.9
alphafold3_P9WFW7_model_4.pdb,alphafold3_P9WFW1_model_2.pdb,17.11
alphafold3_P9WFW7_model_4.pdb,alphafold3_P9WFW1_model_3.pdb,19.46
alphafold3_P9WFW7_model_4.pdb,alphafold3_P9WFW1_model_4.pdb,18.84
alphafold3_P9WFW7_model_4.pdb,chai1_P9WFW1_model_0.pdb,13.52
alphafold3_P9WFW7_model_4.pdb,chai1_P9WFW1_model_1.pdb,18.43
