file_name_1,file_name_2,rmsd
alphafold2_P9WFU5_model_0.pdb,alphafold2_P9WFW3_model_0.pdb,11.91
alphafold2_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_0.pdb,12.05
alphafold2_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_1.pdb,11.9
alphafold2_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_2.pdb,12.1
alphafold2_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_3.pdb,11.72
alphafold2_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_4.pdb,12.04
alphafold2_P9WFU5_model_0.pdb,chai1_P9WFW3_model_0.pdb,11.69
alphafold2_P9WFU5_model_0.pdb,chai1_P9WFW3_model_1.pdb,2.81
alphafold2_P9WFU5_model_0.pdb,chai1_P9WFW3_model_2.pdb,2.92
alphafold2_P9WFU5_model_0.pdb,chai1_P9WFW3_model_3.pdb,11.67
alphafold2_P9WFU5_model_0.pdb,chai1_P9WFW3_model_4.pdb,11.73
alphafold2_P9WFU5_model_0.pdb,swissmodel_P9WFW3_model_0.pdb,11.86
alphafold3_P9WFU5_model_0.pdb,alphafold2_P9WFW3_model_0.pdb,11.97
alphafold3_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_0.pdb,12.02
alphafold3_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_1.pdb,11.87
alphafold3_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_2.pdb,11.99
alphafold3_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_3.pdb,11.99
alphafold3_P9WFU5_model_0.pdb,alphafold3_P9WFW3_model_4.pdb,12.01
alphafold3_P9WFU5_model_0.pdb,chai1_P9WFW3_model_0.pdb,11.67
alphafold3_P9WFU5_model_0.pdb,chai1_P9WFW3_model_1.pdb,2.46
alphafold3_P9WFU5_model_0.pdb,chai1_P9WFW3_model_2.pdb,18.25
alphafold3_P9WFU5_model_0.pdb,chai1_P9WFW3_model_3.pdb,17.67
alphafold3_P9WFU5_model_0.pdb,chai1_P9WFW3_model_4.pdb,2.86
alphafold3_P9WFU5_model_0.pdb,swissmodel_P9WFW3_model_0.pdb,16.44
alphafold3_P9WFU5_model_1.pdb,alphafold2_P9WFW3_model_0.pdb,11.78
alphafold3_P9WFU5_model_1.pdb,alphafold3_P9WFW3_model_0.pdb,12.05
alphafold3_P9WFU5_model_1.pdb,alphafold3_P9WFW3_model_1.pdb,11.55
alphafold3_P9WFU5_model_1.pdb,alphafold3_P9WFW3_model_2.pdb,12.01
alphafold3_P9WFU5_model_1.pdb,alphafold3_P9WFW3_model_3.pdb,11.65
alphafold3_P9WFU5_model_1.pdb,alphafold3_P9WFW3_model_4.pdb,12.04
alphafold3_P9WFU5_model_1.pdb,chai1_P9WFW3_model_0.pdb,11.69
alphafold3_P9WFU5_model_1.pdb,chai1_P9WFW3_model_1.pdb,2.74
alphafold3_P9WFU5_model_1.pdb,chai1_P9WFW3_model_2.pdb,15.36
alphafold3_P9WFU5_model_1.pdb,chai1_P9WFW3_model_3.pdb,11.66
alphafold3_P9WFU5_model_1.pdb,chai1_P9WFW3_model_4.pdb,2.85
alphafold3_P9WFU5_model_1.pdb,swissmodel_P9WFW3_model_0.pdb,11.77
alphafold3_P9WFU5_model_2.pdb,alphafold2_P9WFW3_model_0.pdb,12.02
alphafold3_P9WFU5_model_2.pdb,alphafold3_P9WFW3_model_0.pdb,12.07
alphafold3_P9WFU5_model_2.pdb,alphafold3_P9WFW3_model_1.pdb,11.58
alphafold3_P9WFU5_model_2.pdb,alphafold3_P9WFW3_model_2.pdb,11.69
alphafold3_P9WFU5_model_2.pdb,alphafold3_P9WFW3_model_3.pdb,11.69
alphafold3_P9WFU5_model_2.pdb,alphafold3_P9WFW3_model_4.pdb,2.2
alphafold3_P9WFU5_model_2.pdb,chai1_P9WFW3_model_0.pdb,11.22
alphafold3_P9WFU5_model_2.pdb,chai1_P9WFW3_model_1.pdb,2.36
alphafold3_P9WFU5_model_2.pdb,chai1_P9WFW3_model_2.pdb,18.28
alphafold3_P9WFU5_model_2.pdb,chai1_P9WFW3_model_3.pdb,11.09
alphafold3_P9WFU5_model_2.pdb,chai1_P9WFW3_model_4.pdb,18.24
alphafold3_P9WFU5_model_2.pdb,swissmodel_P9WFW3_model_0.pdb,11.78
alphafold3_P9WFU5_model_3.pdb,alphafold2_P9WFW3_model_0.pdb,2.24
alphafold3_P9WFU5_model_3.pdb,alphafold3_P9WFW3_model_0.pdb,12.03
alphafold3_P9WFU5_model_3.pdb,alphafold3_P9WFW3_model_1.pdb,11.51
alphafold3_P9WFU5_model_3.pdb,alphafold3_P9WFW3_model_2.pdb,12.0
alphafold3_P9WFU5_model_3.pdb,alphafold3_P9WFW3_model_3.pdb,11.61
alphafold3_P9WFU5_model_3.pdb,alphafold3_P9WFW3_model_4.pdb,12.01
alphafold3_P9WFU5_model_3.pdb,chai1_P9WFW3_model_0.pdb,11.66
alphafold3_P9WFU5_model_3.pdb,chai1_P9WFW3_model_1.pdb,2.74
alphafold3_P9WFU5_model_3.pdb,chai1_P9WFW3_model_2.pdb,2.91
alphafold3_P9WFU5_model_3.pdb,chai1_P9WFW3_model_3.pdb,11.06
alphafold3_P9WFU5_model_3.pdb,chai1_P9WFW3_model_4.pdb,2.85
alphafold3_P9WFU5_model_3.pdb,swissmodel_P9WFW3_model_0.pdb,18.01
alphafold3_P9WFU5_model_4.pdb,alphafold2_P9WFW3_model_0.pdb,1.98
alphafold3_P9WFU5_model_4.pdb,alphafold3_P9WFW3_model_0.pdb,11.93
alphafold3_P9WFU5_model_4.pdb,alphafold3_P9WFW3_model_1.pdb,11.38
alphafold3_P9WFU5_model_4.pdb,alphafold3_P9WFW3_model_2.pdb,11.89
alphafold3_P9WFU5_model_4.pdb,alphafold3_P9WFW3_model_3.pdb,11.49
alphafold3_P9WFU5_model_4.pdb,alphafold3_P9WFW3_model_4.pdb,11.91
alphafold3_P9WFU5_model_4.pdb,chai1_P9WFW3_model_0.pdb,11.56
alphafold3_P9WFU5_model_4.pdb,chai1_P9WFW3_model_1.pdb,2.71
alphafold3_P9WFU5_model_4.pdb,chai1_P9WFW3_model_2.pdb,17.35
alphafold3_P9WFU5_model_4.pdb,chai1_P9WFW3_model_3.pdb,11.54
alphafold3_P9WFU5_model_4.pdb,chai1_P9WFW3_model_4.pdb,2.81
