file_name_1,file_name_2,rmsd
alphafold2_P9WFU9_model_0.pdb,alphafold2_P9WFT7_model_0.pdb,7.21
alphafold2_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_0.pdb,4.62
alphafold2_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_1.pdb,7.2
alphafold2_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_2.pdb,4.42
alphafold2_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_3.pdb,4.28
alphafold2_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_4.pdb,4.66
alphafold2_P9WFU9_model_0.pdb,chai1_P9WFT7_model_0.pdb,5.37
alphafold2_P9WFU9_model_0.pdb,chai1_P9WFT7_model_1.pdb,4.72
alphafold2_P9WFU9_model_0.pdb,chai1_P9WFT7_model_2.pdb,4.87
alphafold2_P9WFU9_model_0.pdb,chai1_P9WFT7_model_3.pdb,4.96
alphafold2_P9WFU9_model_0.pdb,chai1_P9WFT7_model_4.pdb,6.88
alphafold2_P9WFU9_model_0.pdb,swissmodel_P9WFT7_model_0.pdb,5.11
alphafold2_P9WFU9_model_0.pdb,swissmodel_P9WFT7_model_1.pdb,7.23
alphafold3_P9WFU9_model_0.pdb,alphafold2_P9WFT7_model_0.pdb,3.56
alphafold3_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_0.pdb,7.17
alphafold3_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_1.pdb,7.32
alphafold3_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_2.pdb,3.63
alphafold3_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_3.pdb,2.7
alphafold3_P9WFU9_model_0.pdb,alphafold3_P9WFT7_model_4.pdb,3.57
alphafold3_P9WFU9_model_0.pdb,chai1_P9WFT7_model_0.pdb,3.47
alphafold3_P9WFU9_model_0.pdb,chai1_P9WFT7_model_1.pdb,3.51
alphafold3_P9WFU9_model_0.pdb,chai1_P9WFT7_model_2.pdb,6.98
