file_name_1,file_name_2,rmsd
alphafold2_P9WFV1_model_0.pdb,alphafold2_P9WN61_model_0.pdb,15.05
alphafold2_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_0.pdb,14.72
alphafold2_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_1.pdb,15.69
alphafold2_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_2.pdb,14.84
alphafold2_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_3.pdb,21.54
alphafold2_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_4.pdb,14.83
alphafold2_P9WFV1_model_0.pdb,chai1_P9WN61_model_0.pdb,16.09
alphafold2_P9WFV1_model_0.pdb,chai1_P9WN61_model_1.pdb,16.2
alphafold2_P9WFV1_model_0.pdb,chai1_P9WN61_model_2.pdb,15.55
alphafold2_P9WFV1_model_0.pdb,chai1_P9WN61_model_3.pdb,15.59
alphafold2_P9WFV1_model_0.pdb,chai1_P9WN61_model_4.pdb,15.5
alphafold2_P9WFV1_model_0.pdb,swissmodel_P9WN61_model_0.pdb,15.92
alphafold2_P9WFV1_model_0.pdb,swissmodel_P9WN61_model_1.pdb,16.49
alphafold2_P9WFV1_model_0.pdb,swissmodel_P9WN61_model_2.pdb,22.16
alphafold3_P9WFV1_model_0.pdb,alphafold2_P9WN61_model_0.pdb,16.27
alphafold3_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_0.pdb,15.57
alphafold3_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_1.pdb,15.78
alphafold3_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_2.pdb,15.71
alphafold3_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_3.pdb,15.87
alphafold3_P9WFV1_model_0.pdb,alphafold3_P9WN61_model_4.pdb,15.74
alphafold3_P9WFV1_model_0.pdb,chai1_P9WN61_model_0.pdb,16.37
alphafold3_P9WFV1_model_0.pdb,chai1_P9WN61_model_1.pdb,16.44
alphafold3_P9WFV1_model_0.pdb,chai1_P9WN61_model_2.pdb,15.53
alphafold3_P9WFV1_model_0.pdb,chai1_P9WN61_model_3.pdb,15.87
alphafold3_P9WFV1_model_0.pdb,chai1_P9WN61_model_4.pdb,15.51
